Availability,Price,Beds,Baths,Sqft,Address,Community,URL
Move-in ready,"$1,369,990",5.0,4.5,5176.0,"1421 Palmer Drive N, Lake Elmo, MN",Cypress in Royal Club,https://www.lennar.comclass=
Move-in ready,"$680,405",4.0,3.0,2487.0,"3121 Sugar Maple Dr., Chaska, MN",Sinclair in Reserve at Autumn Woods,https://www.lennar.comclass=
Move-in ready,"$406,114",3.0,2.5,1906.0,"10931 Zest St. NE Unit C, Blaine, MN",Jefferson in North Meadows,https://www.lennar.comclass=
Move-in ready,"$589,990",4.0,2.5,2480.0,"12691 Abbeyside Court (M-WHC, Rosemount, MN",Sinclair in Meadow Ridge,https://www.lennar.comclass=
Move-in ready,"$557,990",4.0,4.0,2628.0,"18732 Hancock Avenue (M-WHC), Lakeville, MN",Donovan in Avonlea,https://www.lennar.comclass=
Move-in ready,"$399,990",4.0,3.0,2049.0,"8025 Lander Ave NE (M-WHC), Otsego, MN",Cascade in Hunter Hills,https://www.lennar.comclass=
Move-in ready,"$369,990",3.0,2.5,1719.0,"16750 Dunkirk Circle N (MWHC, Dayton, MN",Raleigh in Territorial Commons,https://www.lennar.comclass=
Move-in ready,"$385,990",3.0,2.5,1777.0,"1713 Tyrone Drive (M), Shakopee, MN",St.Clair in Summerland Place,https://www.lennar.comclass=
Move-in ready,"$354,990",3.0,2.5,1842.0,"23045 Hazel Lane, Rogers, MN",Taylor in Skye Meadows,https://www.lennar.comclass=
Move-in ready,"$376,990",3.0,2.5,1906.0,"11017 Zest St NE Unit A (M), Blaine, MN",Jefferson in North Meadows,https://www.lennar.comclass=
Move-in ready,"$349,990",3.0,2.5,1804.0,"11017 Zest St NE Unit B (M), Blaine, MN",Madison in North Meadows,https://www.lennar.comclass=
Move-in ready,"$362,690",3.0,2.5,1769.0,"10885 Territorial Trail, Dayton, MN",Revere in Territorial Commons,https://www.lennar.comclass=
Move-in ready,"$372,990",3.0,3.0,2007.0,"7582 38th Street N., Oakdale, MN",Fremont in Willowbrooke,https://www.lennar.comclass=
Move-in ready,"$391,990",3.0,2.5,1842.0,"23001 Hazel Lane, Rogers, MN",Taylor in Skye Meadows,https://www.lennar.comclass=
Move-in ready,"$598,990",4.0,3.0,2706.0,"3022 Ironwood Blvd (M), Chaska, MN",Lewis in Reserve at Autumn Woods,https://www.lennar.comclass=
Move-in ready,"$363,990",2.0,2.0,1559.0,"12504 Waterside Court, Rogers, MN",Magnolia in Skye Meadows,https://www.lennar.comclass=
Move-in ready,"$330,990",3.0,2.5,1782.0,"10904 Garland Place N, Dayton, MN",Revere in Territorial Commons,https://www.lennar.comclass=
Move-in ready,"$829,990",2.0,2.5,3240.0,"1481 Palmer Drive N, Lake Elmo, MN",Prescara in Royal Club,https://www.lennar.comclass=
Move-in ready,"$645,245",4.0,3.0,2697.0,"10966 Ithaca Lane N, Dayton, MN",Taylor in Sundance Greens,https://www.lennar.comclass=
Move-in ready,"$362,990",3.0,2.5,1719.0,"22955 Hazel Lane, Rogers, MN",Richmond in Skye Meadows,https://www.lennar.comclass=
Move-in ready,"$411,990",3.0,2.5,1831.0,"10884 Dunkirk Circle N, Dayton, MN",Taylor in Territorial Commons,https://www.lennar.comclass=
Move-in ready,"$364,990",3.0,2.5,1719.0,"439 Murray Hill Way, Waconia, MN",Richmond in Waterford,https://www.lennar.comclass=
Move-in ready,"$355,990",3.0,3.0,1914.0,"7558 38th Street N., Oakdale, MN",Newport in Willowbrooke,https://www.lennar.comclass=
Move-in ready,"$598,990",4.0,3.0,2706.0,"10975 Ithaca Lane N, Dayton, MN",Lewis in Sundance Greens,https://www.lennar.comclass=
Move-in ready,"$414,599",2.0,2.0,1557.0,"7400 Forest Lane, Lino Lakes, MN",Cordoba in Watermark,https://www.lennar.comclass=
Move-in ready,"$380,490",3.0,3.0,1944.0,"7560 38th Street N., Oakdale, MN",Newport in Willowbrooke,https://www.lennar.comclass=
Move-in ready,"$344,990",3.0,3.0,1690.0,"7562 38th Street N., Oakdale, MN",Ontario in Willowbrooke,https://www.lennar.comclass=
Move-in ready,"$376,390",3.0,2.5,1719.0,"1614 144th St E, Rosemount, MN",Raleigh in Talamore,https://www.lennar.comclass=
Move-in ready,"$822,825",1.0,1.5,2008.0,"11419 Kings Court N, Lake Elmo, MN",Monaco in Royal Club,https://www.lennar.comclass=
Move-in ready,"$459,990",2.0,2.0,1587.0,"7404 Forest Lane, Lino Lakes, MN",Florentine in Watermark,https://www.lennar.comclass=
Move-in ready,"$394,890",3.0,3.0,2007.0,"7564 38th Street N., Oakdale, MN",Fremont in Willowbrooke,https://www.lennar.comclass=
Move-in ready,"$333,990",3.0,2.5,1769.0,"14839 Ardee Pl, Rosemount, MN",Revere in Amber Fields,https://www.lennar.comclass=
Move-in ready,"$649,990",4.0,2.5,2697.0,"2975 Ironwood Blvd, Chaska, MN",Taylor in Reserve at Autumn Woods,https://www.lennar.comclass=
Move-in ready,"$398,965",2.0,2.0,1559.0,"12465 Waterside Court, Rogers, MN",Magnolia in Skye Meadows,https://www.lennar.comclass=
Move-in ready,"$350,990",3.0,2.5,1800.0,"10884 Fountain Place N, Dayton, MN",Franklin in Territorial Commons,https://www.lennar.comclass=
Move-in ready,"$644,420",4.0,3.0,2682.0,"11005 Ithaca Lane N, Dayton, MN",Taylor in Sundance Greens,https://www.lennar.comclass=
Move-in ready,"$391,390",3.0,2.5,1791.0,"10890 Fountain Place N, Dayton, MN",Franklin in Territorial Commons,https://www.lennar.comclass=
Move-in ready,"$436,990",2.0,2.5,1517.0,"20068 Grassland Way, Rogers, MN",Florence in Laurel Creek,https://www.lennar.comclass=
Move-in ready,"$789,990",4.0,4.0,3026.0,"1938 Visionary Court, Chanhassen, MN",Summit in The Park,https://www.lennar.comclass=
Move-in ready,"$539,940",2.0,2.5,1517.0,"20124 Grassland Way, Rogers, MN",Florence in Laurel Creek,https://www.lennar.comclass=
Move-in ready,"$353,990",3.0,2.5,1804.0,"14534 112th Avenue N, Dayton, MN",Madison in Sundance Greens,https://www.lennar.comclass=
Move-in ready,"$739,990",4.0,3.5,3436.0,"18144 Hinckley Ave, Lakeville, MN",Snelling in Caslano,https://www.lennar.comclass=
